X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough
-74.1767857452143,40.6895156480431,1,0.116357453189,0.0007823067885,Newark Airport,1,EWR
-73.8261257703202,40.6257242377511,2,0.43346966679,0.00486634037837,Jamaica Bay,2,Queens
-73.8494789238597,40.8658875419774,3,0.0843411059012,0.000314414156821,Allerton/Pelham Gardens,3,Bronx
-73.9770229219339,40.7241521436714,4,0.0435665270921,0.000111871946192,Alphabet City,4,Manhattan
-74.1899296712375,40.550340123832,5,0.0921464898574,0.000497957489363,Arden Heights,5,Staten Island
-74.0677744607421,40.5990621740821,6,0.150490542523,0.000606460984581,Arrochar/Fort Wadsworth,6,Staten Island
-73.9214905669465,40.761084729151,7,0.107417171123,0.000389787989274,Astoria,7,Queens
-73.9232024092836,40.7786069617704,8,0.0275906911574,2.6587716279e-05,Astoria Park,8,Queens
-73.7880202487407,40.7544109271114,9,0.0997840924705,0.000338443803197,Auburndale,9,Queens
-73.7916654578906,40.6781247031195,10,0.0998394794152,0.000435823818081,Baisley Park,10,Queens
-74.0106156305362,40.6039777088098,11,0.0792110389596,0.00026452053504,Bath Beach,11,Brooklyn
-74.0154903292143,40.7024884135418,12,0.0366613013579,4.15116236727e-05,Battery Park,12,Manhattan
-74.0161196692833,40.7116120831165,13,0.0502813228631,0.000149358592917,Battery Park City,13,Manhattan
-74.0304470508297,40.6235842793089,14,0.175213698053,0.00138177826442,Bay Ridge,14,Brooklyn
-73.7879710847436,40.7852195006457,15,0.14433622262,0.000925219395547,Bay Terrace/Fort Totten,15,Queens
-73.7716678221165,40.7612088345005,16,0.141291873771,0.000871889446182,Bayside,16,Queens
-73.9491813010382,40.6919940962748,17,0.093522632948,0.000322957654799,Bedford,17,Brooklyn
-73.8869219948557,40.8687628819908,18,0.0697995498569,0.000148850163948,Bedford Park,18,Bronx
-73.7278693961567,40.7364724391387,19,0.101824875452,0.000546661094782,Bellerose,19,Queens
-73.8860348405346,40.8577731142544,20,0.0514401924362,0.000134512633032,Belmont,20,Bronx
-73.9813007259727,40.6020489840097,21,0.115973569062,0.000380251345507,Bensonhurst East,21,Brooklyn
-73.9942970150052,40.6096273400171,22,0.126170229196,0.000472062684608,Bensonhurst West,22,Brooklyn
-74.1594432875648,40.607504219542,23,0.290556028962,0.00219556576201,Bloomfield/Emerson Hill,23,Staten Island
-73.9655685290937,40.8020327729942,24,0.0469999619287,6.07235737749e-05,Bloomingdale,24,Manhattan
-73.9864589876713,40.685614589464,25,0.0471458199319,0.000124168267356,Boerum Hill,25,Brooklyn
-73.9895604065528,40.6286122405859,26,0.12354780707,0.000534039927626,Borough Park,26,Brooklyn
-73.9097811978144,40.5589500919216,27,0.202508808518,0.00134088762746,Breezy Point/Fort Tilden/Riis Beach,27,Queens
-73.80732908405,40.710852781755,28,0.097960782214,0.000291203927662,Briarwood/Jamaica Hills,28,Queens
-73.9605798481175,40.582195546571,29,0.0714083127733,0.000201673837402,Brighton Beach,29,Brooklyn
-73.8200975464803,40.6048721837899,30,0.0945097669793,0.000145862107626,Broad Channel,30,Queens
-73.875722045295,40.85992052114,31,0.0964245666516,0.000333975927329,Bronx Park,31,Bronx
-73.8646241408313,40.8644517064252,32,0.05426721601,0.000150879171971,Bronxdale,32,Bronx
-73.995328797204,40.6962383270628,33,0.0532702931967,0.000147416802448,Brooklyn Heights,33,Brooklyn
-73.9676989686791,40.7025590381029,34,0.0657059323545,0.000173946146651,Brooklyn Navy Yard,34,Brooklyn
-73.9124814882782,40.6638098226151,35,0.085787918592,0.000323825195932,Brownsville,35,Brooklyn
-73.9165639802734,40.6990847380764,36,0.0870507867063,0.000247666139269,Bushwick North,36,Brooklyn
-73.9259483634522,40.6962674524983,37,0.142810040466,0.000452062644782,Bushwick South,37,Brooklyn
-73.7355495585459,40.6932955704325,38,0.0832175685234,0.000327392684821,Cambria Heights,38,Queens
-73.899773871952,40.6388789299243,39,0.132369620757,0.00090028293862,Canarsie,39,Brooklyn
-73.9958180819094,40.6785042230919,40,0.0518506648762,0.000108949211644,Carroll Gardens,40,Brooklyn
-73.9520653308923,40.8042048286288,41,0.052793109453,0.000143093037737,Central Harlem,41,Manhattan
-73.9395164693167,40.8210462140976,42,0.0927092274616,0.000263896952605,Central Harlem North,42,Manhattan
-73.9655721799594,40.7824597386361,43,0.0997386183576,0.000379662912054,Central Park,43,Manhattan
-74.2295465457844,40.527298175003,44,0.235688967594,0.00194465649192,Charleston/Tottenville,44,Staten Island
-73.9982526213797,40.7130578275841,45,0.0459068626235,9.13594688556e-05,Chinatown,45,Manhattan
-73.7864863118305,40.8474998984855,46,0.134475429879,0.000926391677672,City Island,46,Bronx
-73.8969291492323,40.8457549453718,47,0.0898275563294,0.000163198117339,Claremont/Bathgate,47,Bronx
-73.9898566508315,40.7622367556144,48,0.0437467441431,9.42538425377e-05,Clinton East,48,Manhattan
-73.9649337316477,40.6885158752504,49,0.0752900183427,0.000203185525471,Clinton Hill,49,Brooklyn
-73.9938994033218,40.7666923746668,50,0.0557479867536,0.000173249283326,Clinton West,50,Manhattan
-73.8304236318969,40.874061550909,51,0.0953613442277,0.000395756553505,Co-Op City,51,Bronx
-73.9969224713871,40.6866045417646,52,0.0289076710093,4.52027509603e-05,Cobble Hill,52,Brooklyn
-73.8440703458857,40.7819879584294,53,0.161500913385,0.000947530980821,College Point,53,Queens
-74.003092790563,40.6869911475205,54,0.0762192448554,0.000132452130536,Columbia Street,54,Brooklyn
-73.9904741395563,40.5768996198541,55,0.149956807524,0.000736274713586,Coney Island,55,Brooklyn
-73.8590533534623,40.7415986155017,56,0.0568478126677,0.000180907844436,Corona,56,Queens
-73.853384474855,40.7523160392058,57,0.0192705048557,1.80259807917e-05,Corona,56,Queens
-73.8207053822972,40.8414754987567,58,0.0598554094851,0.000204980931361,Country Club,58,Bronx
-73.8930744338338,40.8388599905968,59,0.0377948070893,6.28765230648e-05,Crotona Park,59,Bronx
-73.8897822026553,40.8312941187883,60,0.0786482878226,0.000161833284912,Crotona Park East,60,Bronx
